id,text,pos
11,"""most people think of the homeless as just a lost cause while worrying about things such as racism the war on iraq pressuring kids to succeed technology the elections inflation or worrying if theyll be next to end up on the streets.but what if you were given a bet to live on the streets for a month without the luxuries you once had from a home the entertainment sets a bathroom pictures on the wall a computer and everything you once treasure to see what its like to be homeless?""","[('``', '``'), ('most', 'JJS'), ('people', 'NNS'), ('think', 'VBP'), ('of', 'IN'), ('the', 'DT'), ('homeless', 'NN'), ('as', 'IN'), ('just', 'RB'), ('a', 'DT'), ('lost', 'VBN'), ('cause', 'NN'), ('while', 'IN'), ('worrying', 'VBG'), ('about', 'IN'), ('things', 'NNS'), ('such', 'JJ'), ('as', 'IN'), ('racism', 'NN'), ('the', 'DT'), ('war', 'NN'), ('on', 'IN'), ('iraq', 'NN'), ('pressuring', 'VBG'), ('kids', 'NNS'), ('to', 'TO'), ('succeed', 'VB'), ('technology', 'NN'), ('the', 'DT'), ('elections', 'NNS'), ('inflation', 'NN'), ('or', 'CC'), ('worrying', 'VBG'), ('if', 'IN'), ('theyll', 'JJ'), ('be', 'VB'), ('next', 'JJ'), ('to', 'TO'), ('end', 'VB'), ('up', 'RP'), ('on', 'IN'), ('the', 'DT'), ('streets.but', 'NN'), ('what', 'WP'), ('if', 'IN'), ('you', 'PRP'), ('were', 'VBD'), ('given', 'VBN'), ('a', 'DT'), ('bet', 'NN'), ('to', 'TO'), ('live', 'VB'), ('on', 'IN'), ('the', 'DT'), ('streets', 'NNS'), ('for', 'IN'), ('a', 'DT'), ('month', 'NN'), ('without', 'IN'), ('the', 'DT'), ('luxuries', 'NNS'), ('you', 'PRP'), ('once', 'RB'), ('had', 'VBD'), ('from', 'IN'), ('a', 'DT'), ('home', 'NN'), ('the', 'DT'), ('entertainment', 'NN'), ('sets', 'VBZ'), ('a', 'DT'), ('bathroom', 'NN'), ('pictures', 'VBZ'), ('on', 'IN'), ('the', 'DT'), ('wall', 'NN'), ('a', 'DT'), ('computer', 'NN'), ('and', 'CC'), ('everything', 'NN'), ('you', 'PRP'), ('once', 'RB'), ('treasure', 'VBP'), ('to', 'TO'), ('see', 'VB'), ('what', 'WP'), ('its', 'PRP$'), ('like', 'NN'), ('to', 'TO'), ('be', 'VB'), ('homeless', 'JJ'), ('?', '.'), (""''"", ""''"")]"
12,"""that is goddard bolts lesson.mel brooks who directs who stars as bolt plays a rich man who has everything in the world until deciding to make a bet with a sissy rival jeffery tambor to see if he can live in the streets for thirty days without the luxuries; if bolt succeeds he can do what he wants with a future project of making more buildings.""","[('``', '``'), ('that', 'DT'), ('is', 'VBZ'), ('goddard', 'JJ'), ('bolts', 'NNS'), ('lesson.mel', 'JJ'), ('brooks', 'NNS'), ('who', 'WP'), ('directs', 'VBZ'), ('who', 'WP'), ('stars', 'VBZ'), ('as', 'IN'), ('bolt', 'NN'), ('plays', 'VBZ'), ('a', 'DT'), ('rich', 'JJ'), ('man', 'NN'), ('who', 'WP'), ('has', 'VBZ'), ('everything', 'NN'), ('in', 'IN'), ('the', 'DT'), ('world', 'NN'), ('until', 'IN'), ('deciding', 'VBG'), ('to', 'TO'), ('make', 'VB'), ('a', 'DT'), ('bet', 'NN'), ('with', 'IN'), ('a', 'DT'), ('sissy', 'JJ'), ('rival', 'JJ'), ('jeffery', 'NN'), ('tambor', 'NN'), ('to', 'TO'), ('see', 'VB'), ('if', 'IN'), ('he', 'PRP'), ('can', 'MD'), ('live', 'VB'), ('in', 'IN'), ('the', 'DT'), ('streets', 'NNS'), ('for', 'IN'), ('thirty', 'JJ'), ('days', 'NNS'), ('without', 'IN'), ('the', 'DT'), ('luxuries', 'NNS'), (';', ':'), ('if', 'IN'), ('bolt', 'NN'), ('succeeds', 'VBZ'), ('he', 'PRP'), ('can', 'MD'), ('do', 'VB'), ('what', 'WP'), ('he', 'PRP'), ('wants', 'VBZ'), ('with', 'IN'), ('a', 'DT'), ('future', 'NN'), ('project', 'NN'), ('of', 'IN'), ('making', 'VBG'), ('more', 'JJR'), ('buildings', 'NNS'), ('.', '.'), (""''"", ""''"")]"
13,"""the bets on where bolt is thrown on the street with a bracelet on his leg to monitor his every move where he cant step off the sidewalk.""","[('``', '``'), ('the', 'DT'), ('bets', 'NNS'), ('on', 'IN'), ('where', 'WRB'), ('bolt', 'NN'), ('is', 'VBZ'), ('thrown', 'VBN'), ('on', 'IN'), ('the', 'DT'), ('street', 'NN'), ('with', 'IN'), ('a', 'DT'), ('bracelet', 'NN'), ('on', 'IN'), ('his', 'PRP$'), ('leg', 'NN'), ('to', 'TO'), ('monitor', 'VB'), ('his', 'PRP$'), ('every', 'DT'), ('move', 'NN'), ('where', 'WRB'), ('he', 'PRP'), ('cant', 'VB'), ('step', 'VB'), ('off', 'RP'), ('the', 'DT'), ('sidewalk', 'NN'), ('.', '.'), (""''"", ""''"")]"
14,"""hes given the nickname pepto by a vagrant after its written on his forehead where bolt meets other characters including a woman by the name of molly lesley ann warren an ex dancer who got divorce before losing her home and her pals sailor howard morris and fumes teddy wilson who are already used to the streets.""","[('``', '``'), ('hes', 'NNS'), ('given', 'VBN'), ('the', 'DT'), ('nickname', 'NN'), ('pepto', 'NN'), ('by', 'IN'), ('a', 'DT'), ('vagrant', 'NN'), ('after', 'IN'), ('its', 'PRP$'), ('written', 'VBN'), ('on', 'IN'), ('his', 'PRP$'), ('forehead', 'NN'), ('where', 'WRB'), ('bolt', 'NN'), ('meets', 'VBZ'), ('other', 'JJ'), ('characters', 'NNS'), ('including', 'VBG'), ('a', 'DT'), ('woman', 'NN'), ('by', 'IN'), ('the', 'DT'), ('name', 'NN'), ('of', 'IN'), ('molly', 'RB'), ('lesley', 'JJ'), ('ann', 'NN'), ('warren', 'VBD'), ('an', 'DT'), ('ex', 'JJ'), ('dancer', 'NN'), ('who', 'WP'), ('got', 'VBD'), ('divorce', 'NN'), ('before', 'IN'), ('losing', 'VBG'), ('her', 'PRP$'), ('home', 'NN'), ('and', 'CC'), ('her', 'PRP$'), ('pals', 'NNS'), ('sailor', 'VBP'), ('howard', 'JJ'), ('morris', 'NN'), ('and', 'CC'), ('fumes', 'NNS'), ('teddy', 'VBP'), ('wilson', 'NN'), ('who', 'WP'), ('are', 'VBP'), ('already', 'RB'), ('used', 'VBN'), ('to', 'TO'), ('the', 'DT'), ('streets', 'NNS'), ('.', '.'), (""''"", ""''"")]"
15,"""theyre survivors.""","[('``', '``'), ('theyre', 'JJ'), ('survivors', 'NNS'), ('.', '.'), (""''"", ""''"")]"
16,"""bolt isnt.""","[('``', '``'), ('bolt', 'NN'), ('isnt', 'NN'), ('.', '.'), (""''"", ""''"")]"
17,"""hes not used to reaching mutual agreements like he once did when being rich where its fight or flight kill or be killed.while the love connection between molly and bolt wasnt necessary to plot i found life stinks to be one of mel brooks observant films where prior to being a comedy it shows a tender side compared to his slapstick work such as blazing saddles young frankenstein or spaceballs for the matter to show what its like having something valuable before losing it the next day or on the other hand making a stupid bet like all rich people do when they dont know what to do with their money.""","[('``', '``'), ('hes', 'NNS'), ('not', 'RB'), ('used', 'VBN'), ('to', 'TO'), ('reaching', 'VBG'), ('mutual', 'JJ'), ('agreements', 'NNS'), ('like', 'IN'), ('he', 'PRP'), ('once', 'RB'), ('did', 'VBD'), ('when', 'WRB'), ('being', 'VBG'), ('rich', 'JJ'), ('where', 'WRB'), ('its', 'PRP$'), ('fight', 'NN'), ('or', 'CC'), ('flight', 'NN'), ('kill', 'NN'), ('or', 'CC'), ('be', 'VB'), ('killed.while', 'VBN'), ('the', 'DT'), ('love', 'NN'), ('connection', 'NN'), ('between', 'IN'), ('molly', 'RB'), ('and', 'CC'), ('bolt', 'VB'), ('wasnt', 'JJ'), ('necessary', 'JJ'), ('to', 'TO'), ('plot', 'VB'), ('i', 'NN'), ('found', 'VBD'), ('life', 'NN'), ('stinks', 'NNS'), ('to', 'TO'), ('be', 'VB'), ('one', 'CD'), ('of', 'IN'), ('mel', 'NN'), ('brooks', 'NNS'), ('observant', 'JJ'), ('films', 'NNS'), ('where', 'WRB'), ('prior', 'RB'), ('to', 'TO'), ('being', 'VBG'), ('a', 'DT'), ('comedy', 'NN'), ('it', 'PRP'), ('shows', 'VBZ'), ('a', 'DT'), ('tender', 'NN'), ('side', 'NN'), ('compared', 'VBN'), ('to', 'TO'), ('his', 'PRP$'), ('slapstick', 'JJ'), ('work', 'NN'), ('such', 'JJ'), ('as', 'IN'), ('blazing', 'VBG'), ('saddles', 'NNS'), ('young', 'JJ'), ('frankenstein', 'VBP'), ('or', 'CC'), ('spaceballs', 'NNS'), ('for', 'IN'), ('the', 'DT'), ('matter', 'NN'), ('to', 'TO'), ('show', 'VB'), ('what', 'WP'), ('its', 'PRP$'), ('like', 'IN'), ('having', 'VBG'), ('something', 'NN'), ('valuable', 'JJ'), ('before', 'IN'), ('losing', 'VBG'), ('it', 'PRP'), ('the', 'DT'), ('next', 'JJ'), ('day', 'NN'), ('or', 'CC'), ('on', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('hand', 'NN'), ('making', 'VBG'), ('a', 'DT'), ('stupid', 'JJ'), ('bet', 'NN'), ('like', 'IN'), ('all', 'DT'), ('rich', 'JJ'), ('people', 'NNS'), ('do', 'VBP'), ('when', 'WRB'), ('they', 'PRP'), ('dont', 'VBP'), ('know', 'VB'), ('what', 'WP'), ('to', 'TO'), ('do', 'VB'), ('with', 'IN'), ('their', 'PRP$'), ('money', 'NN'), ('.', '.'), (""''"", ""''"")]"
18,"""maybe they should give it to the homeless instead of using it like monopoly money.or maybe this film will inspire you to help others.""","[('``', '``'), ('maybe', 'RB'), ('they', 'PRP'), ('should', 'MD'), ('give', 'VB'), ('it', 'PRP'), ('to', 'TO'), ('the', 'DT'), ('homeless', 'NN'), ('instead', 'RB'), ('of', 'IN'), ('using', 'VBG'), ('it', 'PRP'), ('like', 'IN'), ('monopoly', 'NN'), ('money.or', 'NN'), ('maybe', 'RB'), ('this', 'DT'), ('film', 'NN'), ('will', 'MD'), ('inspire', 'VB'), ('you', 'PRP'), ('to', 'TO'), ('help', 'VB'), ('others', 'NNS'), ('.', '.'), (""''"", ""''"")]"
19,"""brilliant over acting by lesley ann warren.""","[('``', '``'), ('brilliant', 'NN'), ('over', 'IN'), ('acting', 'VBG'), ('by', 'IN'), ('lesley', 'NN'), ('ann', 'NN'), ('warren', 'NN'), ('.', '.'), (""''"", ""''"")]"
20,"""best dramatic hobo lady i have ever seen and love scenes in clothes warehouse are second to none.""","[('``', '``'), ('best', 'JJS'), ('dramatic', 'JJ'), ('hobo', 'NN'), ('lady', 'NN'), ('i', 'NN'), ('have', 'VBP'), ('ever', 'RB'), ('seen', 'VBN'), ('and', 'CC'), ('love', 'VB'), ('scenes', 'NNS'), ('in', 'IN'), ('clothes', 'NNS'), ('warehouse', 'WDT'), ('are', 'VBP'), ('second', 'JJ'), ('to', 'TO'), ('none', 'NN'), ('.', '.'), (""''"", ""''"")]"
21,"""the corn on face is a classic as good as anything in blazing saddles.""","[('``', '``'), ('the', 'DT'), ('corn', 'NN'), ('on', 'IN'), ('face', 'NN'), ('is', 'VBZ'), ('a', 'DT'), ('classic', 'JJ'), ('as', 'RB'), ('good', 'JJ'), ('as', 'IN'), ('anything', 'NN'), ('in', 'IN'), ('blazing', 'VBG'), ('saddles', 'NNS'), ('.', '.'), (""''"", ""''"")]"
22,"""the take on lawyers is also superb.""","[('``', '``'), ('the', 'DT'), ('take', 'NN'), ('on', 'IN'), ('lawyers', 'NNS'), ('is', 'VBZ'), ('also', 'RB'), ('superb', 'JJ'), ('.', '.'), (""''"", ""''"")]"
23,"""after being accused of being a turncoat selling out his boss and being dishonest the lawyer of pepto bolt shrugs indifferently im a lawyer he says.""","[('``', '``'), ('after', 'IN'), ('being', 'VBG'), ('accused', 'VBN'), ('of', 'IN'), ('being', 'VBG'), ('a', 'DT'), ('turncoat', 'NN'), ('selling', 'VBG'), ('out', 'RP'), ('his', 'PRP$'), ('boss', 'NN'), ('and', 'CC'), ('being', 'VBG'), ('dishonest', 'VB'), ('the', 'DT'), ('lawyer', 'NN'), ('of', 'IN'), ('pepto', 'NN'), ('bolt', 'NN'), ('shrugs', 'NNS'), ('indifferently', 'RB'), ('im', 'VBP'), ('a', 'DT'), ('lawyer', 'NN'), ('he', 'PRP'), ('says', 'VBZ'), ('.', '.'), (""''"", ""''"")]"
24,"""three funny words.""","[('``', '``'), ('three', 'CD'), ('funny', 'JJ'), ('words', 'NNS'), ('.', '.'), (""''"", ""''"")]"
25,"""jeffrey tambor a favorite from the later larry sanders show is fantastic here too as a mad millionaire who wants to crush the ghetto.""","[('``', '``'), ('jeffrey', 'NN'), ('tambor', 'NN'), ('a', 'DT'), ('favorite', 'NN'), ('from', 'IN'), ('the', 'DT'), ('later', 'JJ'), ('larry', 'NN'), ('sanders', 'NNS'), ('show', 'VBP'), ('is', 'VBZ'), ('fantastic', 'JJ'), ('here', 'RB'), ('too', 'RB'), ('as', 'IN'), ('a', 'DT'), ('mad', 'JJ'), ('millionaire', 'NN'), ('who', 'WP'), ('wants', 'VBZ'), ('to', 'TO'), ('crush', 'VB'), ('the', 'DT'), ('ghetto', 'NN'), ('.', '.'), (""''"", ""''"")]"
26,"""his character is more malevolent than usual.""","[('``', '``'), ('his', 'PRP$'), ('character', 'NN'), ('is', 'VBZ'), ('more', 'RBR'), ('malevolent', 'JJ'), ('than', 'IN'), ('usual', 'JJ'), ('.', '.'), (""''"", ""''"")]"
27,"""the hospital scene and the scene where the homeless invade a demolition site are all time classics.""","[('``', '``'), ('the', 'DT'), ('hospital', 'NN'), ('scene', 'NN'), ('and', 'CC'), ('the', 'DT'), ('scene', 'NN'), ('where', 'WRB'), ('the', 'DT'), ('homeless', 'NN'), ('invade', 'VBD'), ('a', 'DT'), ('demolition', 'NN'), ('site', 'NN'), ('are', 'VBP'), ('all', 'DT'), ('time', 'NN'), ('classics', 'NNS'), ('.', '.'), (""''"", ""''"")]"
28,"""look for the legs scene and the two big diggers fighting one bleeds.""","[('``', '``'), ('look', 'NN'), ('for', 'IN'), ('the', 'DT'), ('legs', 'JJ'), ('scene', 'NN'), ('and', 'CC'), ('the', 'DT'), ('two', 'CD'), ('big', 'JJ'), ('diggers', 'NNS'), ('fighting', 'VBG'), ('one', 'CD'), ('bleeds', 'NNS'), ('.', '.'), (""''"", ""''"")]"
29,"""this movie gets better each time i see it which is quite often.""","[('``', '``'), ('this', 'DT'), ('movie', 'NN'), ('gets', 'VBZ'), ('better', 'JJR'), ('each', 'DT'), ('time', 'NN'), ('i', 'VBZ'), ('see', 'VBP'), ('it', 'PRP'), ('which', 'WDT'), ('is', 'VBZ'), ('quite', 'RB'), ('often', 'RB'), ('.', '.'), (""''"", ""''"")]"
30,"""this is easily the most underrated film inn the brooks cannon.""","[('``', '``'), ('this', 'DT'), ('is', 'VBZ'), ('easily', 'RB'), ('the', 'DT'), ('most', 'RBS'), ('underrated', 'JJ'), ('film', 'NN'), ('inn', 'VBP'), ('the', 'DT'), ('brooks', 'NN'), ('cannon', 'NN'), ('.', '.'), (""''"", ""''"")]"
31,"""sure its flawed.""","[('``', '``'), ('sure', 'JJ'), ('its', 'PRP$'), ('flawed', 'NN'), ('.', '.'), (""''"", ""''"")]"
32,"""it does not give a realistic view of homelessness unlike say how citizen kane gave a realistic view of lounge singers or titanic gave a realistic view of italians you idiots.""","[('``', '``'), ('it', 'PRP'), ('does', 'VBZ'), ('not', 'RB'), ('give', 'VB'), ('a', 'DT'), ('realistic', 'JJ'), ('view', 'NN'), ('of', 'IN'), ('homelessness', 'NN'), ('unlike', 'IN'), ('say', 'VBP'), ('how', 'WRB'), ('citizen', 'JJ'), ('kane', 'NN'), ('gave', 'VBD'), ('a', 'DT'), ('realistic', 'JJ'), ('view', 'NN'), ('of', 'IN'), ('lounge', 'NN'), ('singers', 'NNS'), ('or', 'CC'), ('titanic', 'JJ'), ('gave', 'VBD'), ('a', 'DT'), ('realistic', 'JJ'), ('view', 'NN'), ('of', 'IN'), ('italians', 'NNS'), ('you', 'PRP'), ('idiots', 'VBP'), ('.', '.'), (""''"", ""''"")]"
33,"""many of the jokes fall flat.""","[('``', '``'), ('many', 'JJ'), ('of', 'IN'), ('the', 'DT'), ('jokes', 'NNS'), ('fall', 'VBP'), ('flat', 'JJ'), ('.', '.'), (""''"", ""''"")]"
34,"""but still this film is very lovable in a way many comedies are not and to pull that off in a story about some of the most traditionally reviled members of society is truly impressive.""","[('``', '``'), ('but', 'CC'), ('still', 'RB'), ('this', 'DT'), ('film', 'NN'), ('is', 'VBZ'), ('very', 'RB'), ('lovable', 'JJ'), ('in', 'IN'), ('a', 'DT'), ('way', 'NN'), ('many', 'JJ'), ('comedies', 'NNS'), ('are', 'VBP'), ('not', 'RB'), ('and', 'CC'), ('to', 'TO'), ('pull', 'VB'), ('that', 'DT'), ('off', 'RP'), ('in', 'IN'), ('a', 'DT'), ('story', 'NN'), ('about', 'IN'), ('some', 'DT'), ('of', 'IN'), ('the', 'DT'), ('most', 'RBS'), ('traditionally', 'RB'), ('reviled', 'JJ'), ('members', 'NNS'), ('of', 'IN'), ('society', 'NN'), ('is', 'VBZ'), ('truly', 'RB'), ('impressive', 'JJ'), ('.', '.'), (""''"", ""''"")]"
35,"""its not the fisher king but its not crap either.""","[('``', '``'), ('its', 'PRP$'), ('not', 'RB'), ('the', 'DT'), ('fisher', 'NN'), ('king', 'NN'), ('but', 'CC'), ('its', 'PRP$'), ('not', 'RB'), ('crap', 'NN'), ('either', 'RB'), ('.', '.'), (""''"", ""''"")]"
36,"""my only complaint is that brooks should have cast someone else in the lead i love mel as a director and writer not so much as a lead.""","[('``', '``'), ('my', 'PRP$'), ('only', 'JJ'), ('complaint', 'NN'), ('is', 'VBZ'), ('that', 'IN'), ('brooks', 'NN'), ('should', 'MD'), ('have', 'VB'), ('cast', 'VBN'), ('someone', 'NN'), ('else', 'RB'), ('in', 'IN'), ('the', 'DT'), ('lead', 'NN'), ('i', 'NN'), ('love', 'VBP'), ('mel', 'NN'), ('as', 'IN'), ('a', 'DT'), ('director', 'NN'), ('and', 'CC'), ('writer', 'NN'), ('not', 'RB'), ('so', 'RB'), ('much', 'JJ'), ('as', 'IN'), ('a', 'DT'), ('lead', 'NN'), ('.', '.'), (""''"", ""''"")]"
37,"""this is not the typical mel brooks film.""","[('``', '``'), ('this', 'DT'), ('is', 'VBZ'), ('not', 'RB'), ('the', 'DT'), ('typical', 'JJ'), ('mel', 'NN'), ('brooks', 'NN'), ('film', 'NN'), ('.', '.'), (""''"", ""''"")]"
38,"""it was much less slapstick than most of his movies and actually had a plot that was followable.""","[('``', '``'), ('it', 'PRP'), ('was', 'VBD'), ('much', 'RB'), ('less', 'JJR'), ('slapstick', 'JJ'), ('than', 'IN'), ('most', 'JJS'), ('of', 'IN'), ('his', 'PRP$'), ('movies', 'NNS'), ('and', 'CC'), ('actually', 'RB'), ('had', 'VBD'), ('a', 'DT'), ('plot', 'NN'), ('that', 'WDT'), ('was', 'VBD'), ('followable', 'JJ'), ('.', '.'), (""''"", ""''"")]"
39,"""leslie ann warren made the movie she is such a fantastic under rated actress.""","[('``', '``'), ('leslie', 'NN'), ('ann', 'NN'), ('warren', 'NN'), ('made', 'VBD'), ('the', 'DT'), ('movie', 'NN'), ('she', 'PRP'), ('is', 'VBZ'), ('such', 'JJ'), ('a', 'DT'), ('fantastic', 'JJ'), ('under', 'IN'), ('rated', 'VBN'), ('actress', 'NN'), ('.', '.'), (""''"", ""''"")]"
40,"""there were some moments that could have been fleshed out a bit more and some scenes that could probably have been cut to make the room to do so but all in all this is worth the price to rent and see it.""","[('``', '``'), ('there', 'EX'), ('were', 'VBD'), ('some', 'DT'), ('moments', 'NNS'), ('that', 'WDT'), ('could', 'MD'), ('have', 'VB'), ('been', 'VBN'), ('fleshed', 'VBN'), ('out', 'RP'), ('a', 'DT'), ('bit', 'NN'), ('more', 'RBR'), ('and', 'CC'), ('some', 'DT'), ('scenes', 'NNS'), ('that', 'WDT'), ('could', 'MD'), ('probably', 'RB'), ('have', 'VB'), ('been', 'VBN'), ('cut', 'VBN'), ('to', 'TO'), ('make', 'VB'), ('the', 'DT'), ('room', 'NN'), ('to', 'TO'), ('do', 'VB'), ('so', 'RB'), ('but', 'CC'), ('all', 'DT'), ('in', 'IN'), ('all', 'DT'), ('this', 'DT'), ('is', 'VBZ'), ('worth', 'IN'), ('the', 'DT'), ('price', 'NN'), ('to', 'TO'), ('rent', 'VB'), ('and', 'CC'), ('see', 'VB'), ('it', 'PRP'), ('.', '.'), (""''"", ""''"")]"
41,"""the acting was good overall brooks himself did a good job without his characteristic speaking to directly to the audience.""","[('``', '``'), ('the', 'DT'), ('acting', 'NN'), ('was', 'VBD'), ('good', 'JJ'), ('overall', 'JJ'), ('brooks', 'NNS'), ('himself', 'PRP'), ('did', 'VBD'), ('a', 'DT'), ('good', 'JJ'), ('job', 'NN'), ('without', 'IN'), ('his', 'PRP$'), ('characteristic', 'JJ'), ('speaking', 'NN'), ('to', 'TO'), ('directly', 'RB'), ('to', 'TO'), ('the', 'DT'), ('audience', 'NN'), ('.', '.'), (""''"", ""''"")]"
42,"""again warren was the best actor in the movie but fume and sailor both played their parts well.""","[('``', '``'), ('again', 'RB'), ('warren', 'NN'), ('was', 'VBD'), ('the', 'DT'), ('best', 'JJS'), ('actor', 'NN'), ('in', 'IN'), ('the', 'DT'), ('movie', 'NN'), ('but', 'CC'), ('fume', 'NN'), ('and', 'CC'), ('sailor', 'NN'), ('both', 'DT'), ('played', 'VBD'), ('their', 'PRP$'), ('parts', 'NNS'), ('well', 'RB'), ('.', '.'), (""''"", ""''"")]"
43,"""this isnt the comedic robin williams nor is it the quirky insane robin williams of recent thriller fame.""","[('``', '``'), ('this', 'DT'), ('isnt', 'VBZ'), ('the', 'DT'), ('comedic', 'JJ'), ('robin', 'NN'), ('williams', 'NNS'), ('nor', 'CC'), ('is', 'VBZ'), ('it', 'PRP'), ('the', 'DT'), ('quirky', 'JJ'), ('insane', 'NN'), ('robin', 'NN'), ('williams', 'NN'), ('of', 'IN'), ('recent', 'JJ'), ('thriller', 'NN'), ('fame', 'NN'), ('.', '.'), (""''"", ""''"")]"
