rule,frequency,sup,confidence,label,ID
"['VB', 'NN', 'JJR_more', 'CC']",1,1,1.0,NO,69
"['VB', 'NN', 'JJ']",1,1,1.0,NO,70
"['VB', 'NN', 'JJ', 'CC']",1,1,1.0,NO,71
"['VB', 'NN', 'CC']",2,2,1.0,NO,72
"['VB', 'NN', 'PRP']",1,1,1.0,NO,73
"['VB', 'JJR_better', 'VBG']",4,4,1.0,YES,74
"['VB', 'JJR_better', 'VBG', 'IN']",4,4,1.0,YES,75
"['VB', 'JJR_better', 'IN']",4,4,1.0,YES,76
"['VB', 'JJR_better', 'NNS']",2,2,1.0,NO,77
"['VB', 'JJR_better', 'NNS', ""''""]",2,2,1.0,NO,78
"['VB', 'JJR_better', ""''""]",2,2,1.0,NO,79
"['VB', 'JJR_better', 'DT']",2,2,1.0,NO,80
"['VB', 'JJR_better', 'DT', 'NN']",2,2,1.0,NO,81
"['VB', 'JJR_better', 'NN']",2,2,1.0,NO,82
"['VB', 'JJR_better', 'CC']",2,2,1.0,NO,83
"['VB', 'JJR_better', 'CC', 'VB']",2,2,1.0,NO,84
"['VB', 'JJR_better', 'VB']",2,2,1.0,NO,85
"['VB', 'VBG', 'IN']",4,4,1.0,YES,86
"['VB', 'VBG', 'DT']",1,1,1.0,NO,87
"['VB', 'IN', 'PRP$']",3,3,1.0,NO,88
"['VB', 'IN', 'PRP$', 'NN']",1,1,1.0,NO,89
"['VB', 'IN', 'VBG_win']",1,1,1.0,NO,90
"['VB', 'IN', 'VBG_win', 'PRP$']",1,1,1.0,NO,91
"['VB', 'IN', 'VBG_win', 'PRP$', 'NN']",1,1,1.0,NO,92
"['VB', 'IN', 'VBG_win', 'NN']",1,1,1.0,NO,93
"['VB', 'IN', 'NN']",5,5,1.0,NO,94
"['VB', 'IN', 'DT']",11,11,1.0,NO,95
"['VB', 'IN', 'DT', 'NN']",2,2,1.0,NO,96
"['VB', 'IN', 'JJS_least']",4,4,1.0,NO,97
"['VB', 'IN', 'JJS_least', 'DT']",2,2,1.0,NO,98
"['VB', 'IN', 'JJS_least', 'DT', 'NN']",2,2,1.0,NO,99
"['VB', 'IN', 'JJS_least', 'NN']",4,4,1.0,NO,100
"['VB', 'IN', 'JJS_least', 'CD']",2,2,1.0,NO,101
"['VB', 'IN', 'JJS_least', 'CD', 'NN']",2,2,1.0,NO,102
"['VB', 'IN', 'DT_all']",1,1,1.0,NO,103
"['VB', 'IN', 'DT_all', 'JJ']",1,1,1.0,NO,104
"['VB', 'IN', 'DT_all', 'JJ', 'NNS']",1,1,1.0,NO,105
"['VB', 'IN', 'DT_all', 'NNS']",1,1,1.0,NO,106
"['VB', 'IN', 'JJ']",2,2,1.0,NO,107
"['VB', 'IN', 'JJ', 'NNS']",1,1,1.0,NO,108
"['VB', 'IN', 'NNS']",1,1,1.0,NO,109
"['VB', 'IN', 'CD']",2,2,1.0,NO,110
"['VB', 'IN', 'CD', 'NN']",2,2,1.0,NO,111
"['VB', 'IN', 'PRP']",1,1,1.0,NO,112
"['VB', 'RBR_more']",5,5,1.0,NO,113
"['VB', 'RBR_more', 'JJ']",2,2,1.0,NO,114
"['VB', 'RBR_more', 'JJ', 'IN']",2,2,1.0,NO,115
"['VB', 'RBR_more', 'IN']",4,4,1.0,NO,116
"['VB', 'RBR_more', 'RB']",3,3,1.0,NO,117
"['VB', 'RBR_more', 'RB', 'CC']",1,1,1.0,NO,118
"['VB', 'RBR_more', 'RB', 'IN']",2,2,1.0,NO,119
"['VB', 'RBR_more', 'CC']",1,1,1.0,NO,120
"['VB', 'JJ']",16,16,1.0,NO,121
"['VB', 'JJ', 'IN']",2,2,1.0,NO,122
"['VB', 'JJ', 'RB']",1,1,1.0,NO,123
"['VB', 'JJ', 'CC']",1,1,1.0,NO,124
"['VB', 'JJ', 'NNS']",1,1,1.0,NO,125
"['VB', 'JJ', 'IN_befor']",1,1,1.0,NO,126
"['VB', 'JJ', 'IN_befor', 'VBG']",1,1,1.0,NO,127
"['VB', 'JJ', 'IN_befor', 'VBG', 'DT']",1,1,1.0,NO,128
"['VB', 'JJ', 'IN_befor', 'DT']",1,1,1.0,NO,129
"['VB', 'JJ', 'VBG']",1,1,1.0,NO,130
"['VB', 'JJ', 'VBG', 'DT']",1,1,1.0,NO,131
"['VB', 'JJ', 'DT']",1,1,1.0,NO,132
"['VB', 'JJ', 'NN']",6,6,1.0,NO,133
"['VB', 'JJS_darkest']",2,2,1.0,YES,134
"['VB', 'JJS_darkest', 'NNS']",2,2,1.0,YES,135
"['VB', 'JJS_darkest', 'NNS', 'NN']",2,2,1.0,YES,136
"['VB', 'JJS_darkest', 'NN']",2,2,1.0,YES,137
"['VB', 'NNS', ""''""]",2,2,1.0,NO,138
"['VB', 'NNS', 'CC']",1,1,1.0,NO,139
"['VB', 'NNS', 'VBP']",1,1,1.0,NO,140
"['VB', 'NNS', 'IN']",1,1,1.0,NO,141
"['VB', ""''""]",4,4,1.0,NO,142
"['VB', 'VBD_like']",1,1,1.0,NO,143
"['VB', 'VBD_like', 'PRP']",1,1,1.0,NO,144
"['VB', 'VBD_like', 'PRP', 'RP']",1,1,1.0,NO,145
"['VB', 'VBD_like', 'RP']",1,1,1.0,NO,146
"['VB', 'PRP']",9,9,1.0,NO,147
"['VB', 'PRP', 'RP']",2,2,1.0,NO,148
"['VB', 'PRP', 'RP', ""''""]",1,1,1.0,NO,149
"['VB', 'PRP', 'VBP']",1,1,1.0,NO,150
"['VB', 'PRP', 'JJ_inferior']",1,1,1.0,NO,151
"['VB', 'PRP', 'JJ_inferior', 'NN']",1,1,1.0,NO,152
"['VB', 'PRP', 'JJ_inferior', 'NN', 'IN']",1,1,1.0,NO,153
"['VB', 'PRP', 'JJ_inferior', 'IN']",1,1,1.0,NO,154
"['VB', 'PRP', 'NN']",1,1,1.0,NO,155
"['VB', 'PRP', 'NN', 'IN']",1,1,1.0,NO,156
"['VB', 'PRP', 'IN']",1,1,1.0,NO,157
"['VB', 'PRP', 'DT_all']",2,2,1.0,NO,158
"['VB', 'PRP', 'DT_all', 'RP']",1,1,1.0,NO,159
"['VB', 'PRP', 'DT_all', 'RP', ""''""]",1,1,1.0,NO,160
"['VB', 'PRP', 'DT_all', ""''""]",1,1,1.0,NO,161
"['VB', 'PRP', 'DT_all', 'RB']",1,1,1.0,NO,162
"['VB', 'PRP', 'DT_all', 'RB', 'DT']",1,1,1.0,NO,163
"['VB', 'PRP', 'DT_all', 'DT']",1,1,1.0,NO,164
"['VB', 'PRP', ""''""]",1,1,1.0,NO,165
"['VB', 'PRP', 'RB']",1,1,1.0,NO,166
"['VB', 'PRP', 'RB', 'DT']",1,1,1.0,NO,167
"['VB', 'PRP', 'DT']",1,1,1.0,NO,168
"['VB', 'RP']",7,7,1.0,NO,169
"['VB', 'RP', 'IN_like']",1,1,1.0,NO,170
"['VB', 'RP', 'IN_like', 'DT']",1,1,1.0,NO,171
"['VB', 'RP', 'IN_like', 'DT', 'VBN']",1,1,1.0,NO,172
"['VB', 'RP', 'IN_like', 'VBN']",1,1,1.0,NO,173
"['VB', 'RP', 'DT']",1,1,1.0,NO,174
"['VB', 'RP', 'DT', 'VBN']",1,1,1.0,NO,175
"['VB', 'RP', 'VBN']",1,1,1.0,NO,176
"['VB', 'RP', ""''""]",2,2,1.0,NO,177
"['VB', 'RP', 'RB_togeth']",1,1,1.0,NO,178
"['VB', 'RP', 'RB_togeth', ""''""]",1,1,1.0,NO,179
"['VB', 'RP', 'RBR_more']",1,1,1.0,NO,180
"['VB', 'RP', 'RBR_more', 'RB']",1,1,1.0,NO,181
"['VB', 'RP', 'RBR_more', 'RB', 'IN']",1,1,1.0,NO,182
"['VB', 'RP', 'RBR_more', 'IN']",1,1,1.0,NO,183
"['VB', 'RP', 'RB']",1,1,1.0,NO,184
"['VB', 'RP', 'RB', 'IN']",1,1,1.0,NO,185
"['VB', 'RP', 'IN']",1,1,1.0,NO,186
"['VB', 'JJR_more']",7,7,1.0,NO,187
"['VB', 'JJR_more', 'IN']",4,4,1.0,NO,188
"['VB', 'JJR_more', 'IN', 'PRP$']",1,1,1.0,NO,189
"['VB', 'JJR_more', 'IN', 'DT']",2,2,1.0,NO,190
"['VB', 'JJR_more', 'PRP$']",1,1,1.0,NO,191
"['VB', 'JJR_more', 'DT']",2,2,1.0,NO,192
"['VB', 'JJR_more', 'JJ']",2,2,1.0,NO,193
"['VB', 'JJR_more', 'JJ', 'CC']",1,1,1.0,NO,194
"['VB', 'JJR_more', 'JJ', 'NN']",1,1,1.0,NO,195
"['VB', 'JJR_more', 'CC']",1,1,1.0,NO,196
"['VB', 'JJR_more', 'NNS']",1,1,1.0,NO,197
"['VB', 'JJR_more', 'NNS', 'VBP']",1,1,1.0,NO,198
"['VB', 'JJR_more', 'VBP']",1,1,1.0,NO,199
"['VB', 'JJR_more', 'NN']",2,2,1.0,NO,200
"['VB', 'JJR_more', 'NN', 'IN']",1,1,1.0,NO,201
"['VB', 'PRP$']",4,4,1.0,NO,202
"['VB', 'PRP$', 'NN']",2,2,1.0,NO,203
"['VB', 'PRP$', 'RB_most']",1,1,1.0,NO,204
"['VB', 'PRP$', 'RB_most', 'JJ']",1,1,1.0,NO,205
"['VB', 'PRP$', 'RB_most', 'JJ', 'NN']",1,1,1.0,NO,206
"['VB', 'PRP$', 'RB_most', 'NN']",1,1,1.0,NO,207
"['VB', 'PRP$', 'JJ']",1,1,1.0,NO,208
"['VB', 'PRP$', 'JJ', 'NN']",1,1,1.0,NO,209
"['VB', 'PDT_all']",2,2,1.0,NO,210
"['VB', 'PDT_all', 'DT']",2,2,1.0,NO,211
"['VB', 'PDT_all', 'DT', 'VBG']",1,1,1.0,NO,212
"['VB', 'PDT_all', 'DT', 'NNS']",1,1,1.0,NO,213
"['VB', 'PDT_all', 'VBG']",1,1,1.0,NO,214
"['VB', 'PDT_all', 'NNS']",1,1,1.0,NO,215
"['VB', 'JJR_viewer']",1,1,1.0,NO,216
"['VB', 'JJR_viewer', 'RB']",1,1,1.0,NO,217
"['VB', 'JJR_viewer', 'RB', 'IN']",1,1,1.0,NO,218
"['VB', 'JJR_viewer', 'IN']",1,1,1.0,NO,219
"['VB', 'RB']",11,11,1.0,NO,220
"['VB', 'RB', 'IN']",4,4,1.0,NO,221
"['VB', 'RB', 'IN', 'DT']",1,1,1.0,NO,222
"['VB', 'RB', 'VBN_recommend']",1,1,1.0,NO,223
"['VB', 'RB', 'VBN_recommend', 'IN']",1,1,1.0,NO,224
"['VB', 'RB', 'VBN_recommend', 'IN', 'DT']",1,1,1.0,NO,225
"['VB', 'RB', 'VBN_recommend', 'DT']",1,1,1.0,NO,226
"['VB', 'RB', 'DT']",3,3,1.0,NO,227
"['VB', 'RB', 'DT', 'JJ']",1,1,1.0,NO,228
"['VB', 'RB', 'IN_like']",1,1,1.0,NO,229
"['VB', 'RB', 'IN_like', 'DT']",1,1,1.0,NO,230
"['VB', 'RB', 'IN_like', 'DT', 'JJ']",1,1,1.0,NO,231
"['VB', 'RB', 'IN_like', 'JJ']",1,1,1.0,NO,232
"['VB', 'RB', 'JJ']",1,1,1.0,NO,233
"['VB', 'RB', 'CC']",1,1,1.0,NO,234
"['VB', 'JJS_greatest']",1,1,1.0,NO,235
"['VB', 'JJS_greatest', 'NN']",1,1,1.0,NO,236
"['VB', 'JJS_greatest', 'NN', 'IN']",1,1,1.0,NO,237
"['VB', 'JJS_greatest', 'IN']",1,1,1.0,NO,238
"['VB', 'IN_like']",6,6,1.0,NO,239
"['VB', 'IN_like', 'DT']",4,4,1.0,NO,240
"['VB', 'IN_like', 'DT', 'JJ']",3,3,1.0,NO,241
"['VB', 'IN_like', 'DT', 'VBN']",1,1,1.0,NO,242
"['VB', 'IN_like', 'JJ']",4,4,1.0,NO,243
"['VB', 'IN_like', 'JJ', 'NN']",1,1,1.0,NO,244
"['VB', 'IN_like', 'VBN']",1,1,1.0,NO,245
"['VB', 'IN_like', 'TO']",1,1,1.0,NO,246
"['VB', 'IN_like', 'TO', 'VB']",1,1,1.0,NO,247
"['VB', 'IN_like', 'VB']",1,1,1.0,NO,248
"['VB', 'IN_like', 'NN']",1,1,1.0,NO,249
"['VB', 'VBP']",4,4,1.0,NO,250
"['VB', 'VBP', 'VB_recommend']",1,1,1.0,NO,251
"['VB', 'VBP', 'VB_recommend', 'DT']",1,1,1.0,NO,252
"['VB', 'VBP', 'VB_recommend', 'DT', 'NN']",1,1,1.0,NO,253
"['VB', 'VBP', 'VB_recommend', 'NN']",1,1,1.0,NO,254
"['VB', 'VBP', 'DT']",1,1,1.0,NO,255
"['VB', 'VBP', 'DT', 'NN']",1,1,1.0,NO,256
"['VB', 'VBP', 'NN']",1,1,1.0,NO,257
"['VB', 'VB_recommend']",1,1,1.0,NO,258
"['VB', 'VB_recommend', 'DT']",1,1,1.0,NO,259
"['VB', 'VB_recommend', 'DT', 'NN']",1,1,1.0,NO,260
"['VB', 'VB_recommend', 'NN']",1,1,1.0,NO,261
"['VB', 'NN_defeat']",1,1,1.0,NO,262
"['VB', 'NN_defeat', ':']",1,1,1.0,NO,263
"['VB', 'NN_defeat', ':', 'PRP']",1,1,1.0,NO,264
"['VB', 'NN_defeat', 'PRP']",1,1,1.0,NO,265
"['VB', ':']",2,2,1.0,NO,266
"['VB', ':', 'PRP']",1,1,1.0,NO,267
"['VB', ':', 'VBP']",1,1,1.0,NO,268
"['VB', 'VBG_win']",1,1,1.0,NO,269
"['VB', 'VBG_win', 'PRP$']",1,1,1.0,NO,270
"['VB', 'VBG_win', 'PRP$', 'NN']",1,1,1.0,NO,271
"['VB', 'VBG_win', 'NN']",1,1,1.0,NO,272
"['VB', 'DT_all']",11,11,1.0,NO,273
"['VB', 'DT_all', 'IN']",4,4,1.0,NO,274
"['VB', 'DT_all', 'IN', 'DT']",3,3,1.0,NO,275
"['VB', 'DT_all', 'DT']",5,5,1.0,NO,276
"['VB', 'DT_all', 'DT', 'NNS']",1,1,1.0,NO,277
"['VB', 'DT_all', 'VB']",1,1,1.0,NO,278
"['VB', 'DT_all', 'VB', 'PRP']",1,1,1.0,NO,279
"['VB', 'DT_all', 'PRP']",2,2,1.0,NO,280
"['VB', 'DT_all', 'PRP', 'VBP']",1,1,1.0,NO,281
"['VB', 'DT_all', 'VBP']",1,1,1.0,NO,282
"['VB', 'DT_all', 'JJ']",1,1,1.0,NO,283
"['VB', 'DT_all', 'JJ', 'NNS']",1,1,1.0,NO,284
"['VB', 'DT_all', 'NNS']",4,4,1.0,NO,285
"['VB', 'DT_all', 'NNS', 'CC']",1,1,1.0,NO,286
"['VB', 'DT_all', 'NNS', 'IN']",1,1,1.0,NO,287
"['VB', 'DT_all', 'CC']",1,1,1.0,NO,288
"['VB', 'DT_all', 'RP']",1,1,1.0,NO,289
"['VB', 'DT_all', 'RP', ""''""]",1,1,1.0,NO,290
"['VB', 'DT_all', ""''""]",1,1,1.0,NO,291
"['VB', 'DT_all', 'RB']",1,1,1.0,NO,292
"['VB', 'DT_all', 'RB', 'DT']",1,1,1.0,NO,293
"['VB', 'VBN']",4,4,1.0,NO,294
"['VB', 'VBN', 'RBR_better']",2,2,1.0,NO,295
"['VB', 'VBN', 'RBR_better', 'CC']",2,2,1.0,NO,296
"['VB', 'VBN', 'RBR_better', 'CC', 'VBZ']",2,2,1.0,NO,297
"['VB', 'VBN', 'RBR_better', 'VBZ']",2,2,1.0,NO,298
"['VB', 'VBN', 'CC']",2,2,1.0,NO,299
"['VB', 'VBN', 'CC', 'VBZ']",2,2,1.0,NO,300
"['VB', 'VBN', 'VBZ']",2,2,1.0,NO,301
"['VB', 'VBN', 'JJR_stronger']",1,1,1.0,NO,302
"['VB', 'VBN', 'JJR_stronger', 'IN']",1,1,1.0,NO,303
"['VB', 'VBN', 'JJR_stronger', 'IN', 'DT']",1,1,1.0,NO,304
"['VB', 'VBN', 'JJR_stronger', 'DT']",1,1,1.0,NO,305
"['VB', 'VBN', 'IN']",1,1,1.0,NO,306
"['VB', 'VBN', 'IN', 'DT']",1,1,1.0,NO,307
"['VB', 'VBN', 'DT']",1,1,1.0,NO,308
"['VB', 'RBR_better']",4,4,1.0,NO,309
"['VB', 'RBR_better', 'CC']",2,2,1.0,NO,310
"['VB', 'RBR_better', 'CC', 'VBZ']",2,2,1.0,NO,311
"['VB', 'RBR_better', 'VBZ']",2,2,1.0,NO,312
"['VB', 'RBR_better', 'VB']",2,2,1.0,NO,313
"['VB', 'RBR_better', 'VB', 'VB']",2,2,1.0,NO,314
"['VB', 'CC']",13,13,1.0,NO,315
"['VB', 'CC', 'VBZ']",2,2,1.0,NO,316
"['VB', 'CC', 'JJR_better']",2,2,1.0,NO,317
"['VB', 'CC', 'JJR_better', 'DT']",2,2,1.0,NO,318
"['VB', 'CC', 'JJR_better', 'DT', 'NN']",2,2,1.0,NO,319
"['VB', 'CC', 'JJR_better', 'NN']",2,2,1.0,NO,320
"['VB', 'CC', 'DT']",2,2,1.0,NO,321
"['VB', 'CC', 'DT', 'NN']",2,2,1.0,NO,322
"['VB', 'CC', 'NN']",3,3,1.0,NO,323
"['VB', 'CC', 'JJR_more']",2,2,1.0,NO,324
"['VB', 'CC', 'JJR_more', 'NNS']",1,1,1.0,NO,325
"['VB', 'CC', 'JJR_more', 'NNS', 'VBP']",1,1,1.0,NO,326
"['VB', 'CC', 'JJR_more', 'VBP']",1,1,1.0,NO,327
"['VB', 'CC', 'JJR_more', 'JJ']",1,1,1.0,NO,328
"['VB', 'CC', 'JJR_more', 'JJ', 'NN']",1,1,1.0,NO,329
"['VB', 'CC', 'JJR_more', 'NN']",1,1,1.0,NO,330
"['VB', 'CC', 'NNS']",1,1,1.0,NO,331
"['VB', 'CC', 'NNS', 'VBP']",1,1,1.0,NO,332
"['VB', 'CC', 'VBP']",1,1,1.0,NO,333
"['VB', 'CC', 'VB']",2,2,1.0,NO,334
"['VB', 'CC', 'JJ']",1,1,1.0,NO,335
"['VB', 'CC', 'JJ', 'NN']",1,1,1.0,NO,336
"['VB', 'CC', 'RB']",1,1,1.0,NO,337
"['VB', 'VBZ']",2,2,1.0,NO,338
"['VB', 'CD']",4,4,1.0,NO,339
"['VB', 'CD', 'DT_all']",1,1,1.0,NO,340
"['VB', 'CD', 'DT_all', 'VB']",1,1,1.0,NO,341
"['VB', 'CD', 'DT_all', 'VB', 'PRP']",1,1,1.0,NO,342
"['VB', 'CD', 'DT_all', 'PRP']",1,1,1.0,NO,343
"['VB', 'CD', 'VB']",1,1,1.0,NO,344
"['VB', 'CD', 'VB', 'PRP']",1,1,1.0,NO,345
"['VB', 'CD', 'PRP']",1,1,1.0,NO,346
"['VB', 'CD', 'NN']",3,3,1.0,NO,347
"['VB', 'VB']",6,6,1.0,NO,348
"['VB', 'VB', 'PRP']",1,1,1.0,NO,349
"['VB', 'VB', 'VB']",2,2,1.0,NO,350
"['VB', 'JJS_least']",4,4,1.0,NO,351
"['VB', 'JJS_least', 'DT']",2,2,1.0,NO,352
"['VB', 'JJS_least', 'DT', 'NN']",2,2,1.0,NO,353
"['VB', 'JJS_least', 'NN']",4,4,1.0,NO,354
"['VB', 'JJS_least', 'CD']",2,2,1.0,NO,355
"['VB', 'JJS_least', 'CD', 'NN']",2,2,1.0,NO,356
"['VB', 'DT_both']",2,2,1.0,NO,357
"['VB', 'DT_both', 'IN']",2,2,1.0,NO,358
"['VB', 'DT_both', 'IN', 'PRP$']",1,1,1.0,NO,359
"['VB', 'DT_both', 'IN', 'PRP']",1,1,1.0,NO,360
"['VB', 'DT_both', 'PRP$']",1,1,1.0,NO,361
"['VB', 'DT_both', 'PRP']",1,1,1.0,NO,362
"['VB', 'TO']",2,2,1.0,NO,363
"['VB', 'TO', 'VB']",1,1,1.0,NO,364
"['VB', 'TO', 'DT_all']",1,1,1.0,NO,365
"['VB', 'TO', 'DT_all', 'NNS']",1,1,1.0,NO,366
"['VB', 'TO', 'DT_all', 'NNS', 'CC']",1,1,1.0,NO,367
"['VB', 'TO', 'DT_all', 'CC']",1,1,1.0,NO,368
"['VB', 'TO', 'NNS']",1,1,1.0,NO,369
"['VB', 'TO', 'NNS', 'CC']",1,1,1.0,NO,370
"['VB', 'TO', 'CC']",1,1,1.0,NO,371
"['VB', 'VBN_recommend']",1,1,1.0,NO,372
"['VB', 'VBN_recommend', 'IN']",1,1,1.0,NO,373
"['VB', 'VBN_recommend', 'IN', 'DT']",1,1,1.0,NO,374
"['VB', 'VBN_recommend', 'DT']",1,1,1.0,NO,375
"['VB', 'JJR_stronger']",1,1,1.0,NO,376
"['VB', 'JJR_stronger', 'IN']",1,1,1.0,NO,377
"['VB', 'JJR_stronger', 'IN', 'DT']",1,1,1.0,NO,378
"['VB', 'JJR_stronger', 'DT']",1,1,1.0,NO,379
"['VB', 'JJR_bigger']",1,1,1.0,NO,380
"['VB', 'JJR_bigger', 'NNS']",1,1,1.0,NO,381
"['VB', 'JJR_bigger', 'NNS', 'NN']",1,1,1.0,NO,382
"['VB', 'JJR_bigger', 'NN']",1,1,1.0,NO,383
"['VB', 'JJ_second']",1,1,1.0,NO,384
"['VB', 'JJ_second', 'NN']",1,1,1.0,NO,385
"['VB', 'JJ_second', 'NN', 'IN']",1,1,1.0,NO,386
"['VB', 'JJ_second', 'IN']",1,1,1.0,NO,387
"['VB', 'JJ_inferior']",1,1,1.0,NO,388
"['VB', 'JJ_inferior', 'NN']",1,1,1.0,NO,389
"['VB', 'JJ_inferior', 'NN', 'IN']",1,1,1.0,NO,390
"['VB', 'JJ_inferior', 'IN']",1,1,1.0,NO,391
"['VB', 'JJ_similar']",1,1,1.0,NO,392
"['VB', 'JJ_similar', 'NN']",1,1,1.0,NO,393
"['VB', 'JJ_similar', 'NN', 'CC']",1,1,1.0,NO,394
"['VB', 'JJ_similar', 'CC']",1,1,1.0,NO,395
"['VB', 'IN_befor']",1,1,1.0,NO,396
"['VB', 'IN_befor', 'VBG']",1,1,1.0,NO,397
"['VB', 'IN_befor', 'VBG', 'DT']",1,1,1.0,NO,398
"['VB', 'IN_befor', 'DT']",1,1,1.0,NO,399
"['VB', 'JJR_less']",2,2,1.0,NO,400
"['VB', 'JJR_less', 'IN']",2,2,1.0,NO,401
"['VB', 'JJR_less', 'IN', 'DT']",2,2,1.0,NO,402
"['VB', 'JJR_less', 'DT']",2,2,1.0,NO,403
"['VB', 'JJS_worst']",1,1,1.0,NO,404
"['VB', 'JJS_worst', 'IN']",1,1,1.0,NO,405
"['VB', 'JJS_worst', 'IN', 'JJ']",1,1,1.0,NO,406
"['VB', 'JJS_worst', 'JJ']",1,1,1.0,NO,407
"['VB', 'JJS']",1,1,1.0,NO,408
"['VB', 'JJS', 'IN_like']",1,1,1.0,NO,409
